type,module,sourceLine,snippet
for,11-render-materials-player-model.js,1713,"for(let i=0;i<150;i++){ctx.fillStyle=pick();ctx.globalAlpha=.16;ctx.fillRect(rand()*256,rand()*256,2+rand()*5,2+rand()*5);}ctx.globalAlpha=1;"
if,11-render-materials-player-model.js,1714,} else if (kind === 'water') {
else,11-render-materials-player-model.js,1714,} else if (kind === 'water') {
for,11-render-materials-player-model.js,1716,"for(let y=10;y<256;y+=24){ctx.beginPath();ctx.moveTo(0,y+Math.sin(y)*4);for(let x=0;x<=256;x+=12)ctx.lineTo(x,y+Math.sin((x+y)*.09)*5);ctx.stroke();}"
if,11-render-materials-player-model.js,1718,} else if(kind==='stone'){
else,11-render-materials-player-model.js,1718,} else if(kind==='stone'){
for,11-render-materials-player-model.js,1719,"ctx.fillStyle=colors[1];ctx.fillRect(0,0,256,256);for(let y=0;y<256;y+=50){for(let x=((y/50)%2?-28:0);x<256;x+=58){ctx.fillStyle=rand()>.45?colors[0]:pick();ctx.fillRect(x+3,y+3,52,44);ctx.fillStyle='rgba(255,255,255,.09)';ctx.fillRect(x+5,y+5,48,4);}}"
if,11-render-materials-player-model.js,1720,} else if(kind==='tile'){
else,11-render-materials-player-model.js,1720,} else if(kind==='tile'){
for,11-render-materials-player-model.js,1721,"ctx.strokeStyle=colors[1];ctx.lineWidth=7;for(let p=0;p<=256;p+=64){ctx.beginPath();ctx.moveTo(p,0);ctx.lineTo(p,256);ctx.stroke();ctx.beginPath();ctx.moveTo(0,p);ctx.lineTo(256,p);ctx.stroke();}ctx.fillStyle='rgba(255,255,255,.18)';for(let y=7;y<256;y+=64)for(let x=7;x<256;x+=64)ctx.fillRect(x,y,48,5);"
if,11-render-materials-player-model.js,1722,} else if(kind==='fabric'){
else,11-render-materials-player-model.js,1722,} else if(kind==='fabric'){
for,11-render-materials-player-model.js,1723,"for(let y=0;y<256;y+=12)for(let x=0;x<256;x+=12){ctx.fillStyle=(x/12+y/12)%2?colors[0]:colors[1];ctx.globalAlpha=.62;ctx.fillRect(x,y,12,12);}ctx.globalAlpha=1;"
if,11-render-materials-player-model.js,1724,} else if(kind==='metal'){
else,11-render-materials-player-model.js,1724,} else if(kind==='metal'){
for,11-render-materials-player-model.js,1725,"for(let y=0;y<256;y+=32){ctx.fillStyle=y%64?colors[0]:colors[1];ctx.fillRect(0,y,256,32);ctx.fillStyle='rgba(255,255,255,.14)';ctx.fillRect(0,y,256,3);}for(const x of [10,246])for(let y=14;y<256;y+=42){ctx.fillStyle='#6c7b88';ctx.fillRect(x-3,y-3,6,6);}"
if,11-render-materials-player-model.js,1731,"const configure=target=>{target.wrapS=target.wrapT=THREE.RepeatWrapping;target.repeat.set(repeatX,repeatY);target.magFilter=THREE.LinearFilter;target.minFilter=THREE.LinearMipmapLinearFilter;target.generateMipmaps=true;target.anisotropy=(renderer&&renderer.capabilities)?Math.min(12,renderer.capabilities.getMaxAnisotropy()):4;if('colorSpace' in target&&THREE.SRGBColorSpace)target.colorSpace=THREE.SRGBColorSpace;else target.encoding=THREE.sRGBEncoding;};configure(texture);"
else,11-render-materials-player-model.js,1731,"const configure=target=>{target.wrapS=target.wrapT=THREE.RepeatWrapping;target.repeat.set(repeatX,repeatY);target.magFilter=THREE.LinearFilter;target.minFilter=THREE.LinearMipmapLinearFilter;target.generateMipmaps=true;target.anisotropy=(renderer&&renderer.capabilities)?Math.min(12,renderer.capabilities.getMaxAnisotropy()):4;if('colorSpace' in target&&THREE.SRGBColorSpace)target.colorSpace=THREE.SRGBColorSpace;else target.encoding=THREE.sRGBEncoding;};configure(texture);"
if,11-render-materials-player-model.js,1790,"if(!sharedGeometryCache.box.has(key))sharedGeometryCache.box.set(key,new THREE.BoxGeometry(w,h,d));"
if,11-render-materials-player-model.js,1795,"if(!sharedGeometryCache.cylinder.has(key))sharedGeometryCache.cylinder.set(key,new THREE.CylinderGeometry(r,r,h,sides));"
if,11-render-materials-player-model.js,1800,"if(!immutableVisualMaterials.has(key))immutableVisualMaterials.set(key,mat(color,opts));"
if,11-render-materials-player-model.js,1808,"const key=Number(color);if(!roofMaterialCache.has(key))roofMaterialCache.set(key,new THREE.MeshStandardMaterial({map:textures.roof,color:new THREE.Color(color).lerp(new THREE.Color(0xffffff),.12),roughness:.76,metalness:0,flatShading:true}));return roofMaterialCache.get(key);"
if,11-render-materials-player-model.js,1820,"function stabilizeSurface(mesh,renderOrder=0){if(!mesh)return mesh;mesh.frustumCulled=false;mesh.castShadow=false;mesh.receiveShadow=false;mesh.renderOrder=renderOrder;mesh.userData.stableSurface=true;world.criticalSurfaces.push(mesh);return mesh;}"
if,11-render-materials-player-model.js,1832,if(!mesh?.geometry||mesh.userData?.voxelOutline)return mesh;
for,11-render-materials-player-model.js,1847,"premiumBox(1.35,.34,.48,0x8a522d,x,y,z,parent);for(const ox of [-.42,0,.42]){premiumBox(.08,.4,.08,0x2f9d46,x+ox,y+.32,z,parent);premiumBox(.28,.16,.28,color,x+ox,y+.55,z,parent);}return parent;"
for,11-render-materials-player-model.js,1872,"for(const arm of [parts.leftArm,parts.rightArm]){"
for,11-render-materials-player-model.js,1876,"for(const leg of [parts.leftLeg,parts.rightLeg]){"
if,11-render-materials-player-model.js,1903,vehicleVisual.userData.wheels.push(wheel);if(front)vehicleVisual.userData.frontWheels.push(holder);
if,11-render-materials-player-model.js,1905,"playerModel.traverse(o=>{if(o.isMesh)addVoxelOutline(o,0x0a1a2d,.4);});"
if,11-render-materials-player-model.js,1906,"vehicleVisual.traverse(o=>{if(o.isMesh)addVoxelOutline(o,0x14243a,.3);});"
if,11-render-materials-player-model.js,1919,if (avatarLayer && playerGroup) playerGroup.remove(avatarLayer);
if,11-render-materials-player-model.js,1925,if (!playerGroup || !window.THREE) return;
if,11-render-materials-player-model.js,1930,if (uniform !== 'none') {
if,11-render-materials-player-model.js,1933,"if(uniform==='firefighter'){const helm=new THREE.Mesh(new THREE.SphereGeometry(.64,12,8,0,Math.PI*2,0,Math.PI*.62),mat(0xffcf35,{metalness:.06}));helm.position.set(0,3.08,0);avatarLayer.add(helm);box(.72,.12,.2,0xd83b35,0,3.14,.51,avatarLayer);}"
if,11-render-materials-player-model.js,1934,"else if(uniform==='police'){box(1.0,.2,1.0,0x245da8,0,3.28,0,avatarLayer);box(.5,.09,.55,0x245da8,0,3.18,.58,avatarLayer);box(.2,.22,.06,0xffd84d,.28,1.62,.42,avatarLayer);}"
else,11-render-materials-player-model.js,1934,"else if(uniform==='police'){box(1.0,.2,1.0,0x245da8,0,3.28,0,avatarLayer);box(.5,.09,.55,0x245da8,0,3.18,.58,avatarLayer);box(.2,.22,.06,0xffd84d,.28,1.62,.42,avatarLayer);}"
if,11-render-materials-player-model.js,1935,"else if(uniform==='teacher'){box(.18,.7,.08,0x6e4a2f,.48,1.55,.48,avatarLayer);box(.42,.28,.08,0xf7f1d0,.48,1.87,.48,avatarLayer);}"
else,11-render-materials-player-model.js,1935,"else if(uniform==='teacher'){box(.18,.7,.08,0x6e4a2f,.48,1.55,.48,avatarLayer);box(.42,.28,.08,0xf7f1d0,.48,1.87,.48,avatarLayer);}"
if,11-render-materials-player-model.js,1936,"else if(uniform==='delivery'){box(.82,.95,.42,0x8b5a2b,0,1.62,-.58,avatarLayer);box(.68,.18,.08,0xffffff,0,1.72,.43,avatarLayer);}"
else,11-render-materials-player-model.js,1936,"else if(uniform==='delivery'){box(.82,.95,.42,0x8b5a2b,0,1.62,-.58,avatarLayer);box(.68,.18,.08,0xffffff,0,1.72,.43,avatarLayer);}"
if,11-render-materials-player-model.js,1937,"else if(uniform==='mechanic'){box(.78,.2,.08,0xdce8f2,0,1.83,.43,avatarLayer);box(.22,.32,.1,0xf3bd37,.34,1.52,.43,avatarLayer);box(.9,.16,.85,0x26384e,0,3.25,0,avatarLayer);}"
else,11-render-materials-player-model.js,1937,"else if(uniform==='mechanic'){box(.78,.2,.08,0xdce8f2,0,1.83,.43,avatarLayer);box(.22,.32,.1,0xf3bd37,.34,1.52,.43,avatarLayer);box(.9,.16,.85,0x26384e,0,3.25,0,avatarLayer);}"
if,11-render-materials-player-model.js,1938,"else if(uniform==='miner'){const helm=new THREE.Mesh(new THREE.SphereGeometry(.64,12,8,0,Math.PI*2,0,Math.PI*.62),mat(0xf0bb2d,{metalness:.08}));helm.position.set(0,3.08,0);avatarLayer.add(helm);box(.22,.22,.08,0xf8f4c6,0,3.17,.58,avatarLayer);box(.75,.18,.08,0x3b2c1b,0,1.75,.43,avatarLayer);}"
else,11-render-materials-player-model.js,1938,"else if(uniform==='miner'){const helm=new THREE.Mesh(new THREE.SphereGeometry(.64,12,8,0,Math.PI*2,0,Math.PI*.62),mat(0xf0bb2d,{metalness:.08}));helm.position.set(0,3.08,0);avatarLayer.add(helm);box(.22,.22,.08,0xf8f4c6,0,3.17,.58,avatarLayer);box(.75,.18,.08,0x3b2c1b,0,1.75,.43,avatarLayer);}"
if,11-render-materials-player-model.js,1939,"else if(uniform==='builder'){box(1.14,.2,.82,0xf8d54a,0,3.24,0,avatarLayer);box(.72,.15,.85,0xf8d54a,0,3.15,.5,avatarLayer);box(.12,1.02,.08,0xfff2a1,-.33,1.55,.43,avatarLayer);box(.12,1.02,.08,0xfff2a1,.33,1.55,.43,avatarLayer);}"
else,11-render-materials-player-model.js,1939,"else if(uniform==='builder'){box(1.14,.2,.82,0xf8d54a,0,3.24,0,avatarLayer);box(.72,.15,.85,0xf8d54a,0,3.15,.5,avatarLayer);box(.12,1.02,.08,0xfff2a1,-.33,1.55,.43,avatarLayer);box(.12,1.02,.08,0xfff2a1,.33,1.55,.43,avatarLayer);}"
if,11-render-materials-player-model.js,1940,} else if (outfit !== 'classic') {
else,11-render-materials-player-model.js,1940,} else if (outfit !== 'classic') {
if,11-render-materials-player-model.js,1944,if(uniform==='none'){
if,11-render-materials-player-model.js,1945,"if (hat === 'cap') { box(1.0,.22,1.0,0x2477d4,0,3.28,0,avatarLayer); box(.55,.10,.55,0x2477d4,0,3.18,.58,avatarLayer); }"
if,11-render-materials-player-model.js,1946,"else if (hat === 'crown') { box(.92,.25,.92,0xffd84d,0,3.32,0,avatarLayer); [[-.32,.22],[0,.34],[.32,.22]].forEach(([x,h])=>box(.18,h,.18,0xffd84d,x,3.48+h/2,0,avatarLayer)); }"
else,11-render-materials-player-model.js,1946,"else if (hat === 'crown') { box(.92,.25,.92,0xffd84d,0,3.32,0,avatarLayer); [[-.32,.22],[0,.34],[.32,.22]].forEach(([x,h])=>box(.18,h,.18,0xffd84d,x,3.48+h/2,0,avatarLayer)); }"
if,11-render-materials-player-model.js,1947,"else if (hat === 'helmet') { const helm = new THREE.Mesh(new THREE.SphereGeometry(.62,12,8,0,Math.PI*2,0,Math.PI*.62),mat(0xf97316,{metalness:.08})); helm.position.set(0,3.08,0); avatarLayer.add(helm); }"
else,11-render-materials-player-model.js,1947,"else if (hat === 'helmet') { const helm = new THREE.Mesh(new THREE.SphereGeometry(.62,12,8,0,Math.PI*2,0,Math.PI*.62),mat(0xf97316,{metalness:.08})); helm.position.set(0,3.08,0); avatarLayer.add(helm); }"
if,11-render-materials-player-model.js,1948,"if (accessory === 'backpack') { box(.78,1.05,.42,0x9a5b2b,0,1.65,-.58,avatarLayer); }"
if,11-render-materials-player-model.js,1949,"else if (accessory === 'glasses') { box(.38,.18,.08,0x111827,-.26,2.78,.59,avatarLayer); box(.38,.18,.08,0x111827,.26,2.78,.59,avatarLayer); box(.18,.06,.08,0x111827,0,2.78,.59,avatarLayer); }"
else,11-render-materials-player-model.js,1949,"else if (accessory === 'glasses') { box(.38,.18,.08,0x111827,-.26,2.78,.59,avatarLayer); box(.38,.18,.08,0x111827,.26,2.78,.59,avatarLayer); box(.18,.06,.08,0x111827,0,2.78,.59,avatarLayer); }"
if,11-render-materials-player-model.js,1950,"else if (accessory === 'cape') { const cape=box(.92,1.35,.08,0x8b5cf6,0,1.58,-.60,avatarLayer); cape.rotation.x=-.08; }"
else,11-render-materials-player-model.js,1950,"else if (accessory === 'cape') { const cape=box(.92,1.35,.08,0x8b5cf6,0,1.58,-.60,avatarLayer); cape.rotation.x=-.08; }"
if,11-render-materials-player-model.js,1952,avatarLayer.traverse(o=>{if(o.isMesh){o.castShadow=true;o.receiveShadow=true;}});
if,11-render-materials-player-model.js,1960,if (entry.getPos) return entry.getPos();
if,12-world-resources-nature.js,1964,if (entry.disabled) return false;
if,12-world-resources-nature.js,1965,if (currentHouse) return entry.houseId === currentHouse.id || entry.globalInside;
if,12-world-resources-nature.js,1973,if(!batch.stem){
if,12-world-resources-nature.js,1977,if(!batch.petals.has(color)){
if,12-world-resources-nature.js,1995,"if(!resource&&scale>.8){box(.34*scale,.18*scale,.34*scale,0xffe26a,.7*scale,3.95*scale,.65*scale,group);}"
if,12-world-resources-nature.js,1996,if(resource){
if,12-world-resources-nature.js,2005,"if(resource){const id=`rock-${x.toFixed(1)}-${z.toFixed(1)}`;world.resources.push({id,type:'stone',x,z,mesh,collected:false,hits:0,hitsNeeded:2});registerInteractable({id,type:'resource',icon:'⛏️',label:'Extrair pedra com picareta',x,z,radius:2.2,priority:135,action:()=>collectResource(id)});} return mesh;"
for,12-world-resources-nature.js,2018,"for(const [ox,oz,s] of [[-7,-4,2.4],[7,-4,2.4],[-7,4,2.6],[7,4,2.6],[-4,-5,2],[4,-5,2]]){const rock=new THREE.Mesh(new THREE.DodecahedronGeometry(s,0),materials.stone);rock.position.set(ox,s*.48,oz);rock.scale.y=1.35;g.add(rock);}"
for,12-world-resources-nature.js,2020,"for(const ox of [-2.5,2.5]){premiumBox(.35,4.7,.35,materials.wood,ox,2.4,-4.3,g);premiumBox(3.1,.35,.35,materials.wood,ox/2,4.65,-4.3,g);}"
for,12-world-resources-nature.js,2032,"for(const ox of [-1.65,1.65])premiumBox(.28,3.6,.28,materials.wood,ox,2.0,0,g);"
if,12-world-resources-nature.js,2039,"if(state.tools.equipped!=='bucket'){toast('Equipe o balde no menu Ferramentas.','warn',1800);return;}"
if,12-world-resources-nature.js,2040,"const now=performance.now();if(world.well&&now-world.well.lastDrawAt<2500){toast('O balde ainda está subindo.','warn',1100);return;}if(world.well)world.well.lastDrawAt=now;"
if,12-world-resources-nature.js,2045,if(batch.stemCount<256){
if,12-world-resources-nature.js,2049,if(petals.count<128){
for,12-world-resources-nature.js,2068,"for(let i=0;i<=segments;i++){const t=i/segments;box(.18,1.0,.18,materials.wood,lerp(x1,x2,t),.5,lerp(z1,z2,t));}"
if,12-world-resources-nature.js,2075,if(horizontal){
for,12-world-resources-nature.js,2079,"for(let lx=-w/2+3;lx<w/2-1.5;lx+=6)stableBox(2.35,.022,.34,lineMaterial,x+lx,.132,z,worldGroup,3);"
else,12-world-resources-nature.js,2081,}else{
for,12-world-resources-nature.js,2085,"for(let lz=-d/2+3;lz<d/2-1.5;lz+=6)stableBox(.34,.022,2.35,lineMaterial,x,.132,z+lz,worldGroup,3);"
for,12-world-resources-nature.js,2089,"function createWater(x,z,w,d){const water=stableBox(w,.12,d,materials.water,x,.04,z,worldGroup,1);water.material.depthWrite=false;for(let px=x-w/2+2;px<x+w/2;px+=4){stableBox(3.2,.18,.7,0x9fadb8,px,.09,z-d/2-.35,worldGroup,2);stableBox(3.2,.18,.7,0x9fadb8,px,.09,z+d/2+.35,worldGroup,2);}world.hazards.push({type:'water',x,z,w,d});}"
if,12-world-resources-nature.js,2095,if(type==='bed'){
if,12-world-resources-nature.js,2099,if(type==='sofa'){
if,12-world-resources-nature.js,2104,if(type==='tv'){
if,12-world-resources-nature.js,2109,if(type==='fridge'){
if,12-world-resources-nature.js,2113,if(type==='stove'){
for,12-world-resources-nature.js,2115,"for(const ox of [-.28,.28])for(const oz of [-.2,.2])cylinder(.13,.045,0x111827,ox,.95,oz,group,12);"
for,12-world-resources-nature.js,2116,"for(const ox of [-.3,0,.3])cylinder(.04,.07,0xe8edf2,ox,.8,.46,group,8);"
if,12-world-resources-nature.js,2118,if(type==='sink'){
if,12-world-resources-nature.js,2122,if(type==='shower'){
if,12-world-resources-nature.js,2126,"if(type==='chest'){box(1.25,.72,.82,wood,0,.36,0,group);box(1.3,.2,.87,0xffc629,0,.82,0,group);box(.18,.34,.08,metal,0,.55,.44,group);}"
if,12-world-resources-nature.js,2127,"if(type==='table'){box(1.6,.17,1.05,wood,0,.9,0,group);for(const ox of [-.58,.58])for(const oz of [-.35,.35])box(.13,.82,.13,wood,ox,.42,oz,group);box(.55,.08,.55,0x56c5ff,0,.99,0,group);}"
for,12-world-resources-nature.js,2127,"if(type==='table'){box(1.6,.17,1.05,wood,0,.9,0,group);for(const ox of [-.58,.58])for(const oz of [-.35,.35])box(.13,.82,.13,wood,ox,.42,oz,group);box(.55,.08,.55,0x56c5ff,0,.99,0,group);}"
if,12-world-resources-nature.js,2128,"if(type==='wardrobe'){box(1.55,2.14,.68,renderMat(0x89502b,{roughness:.8}),0,1.07,0,group);box(.06,1.9,.7,0x5e351c,0,1.07,0,group);box(.08,.12,.08,0xffd84d,-.13,1.08,.37,group);box(.08,.12,.08,0xffd84d,.13,1.08,.37,group);}"
if,12-world-resources-nature.js,2129,if(type==='desk'){
for,12-world-resources-nature.js,2130,"box(1.75,.16,.88,wood,0,.83,0,group);for(const ox of [-.65,.65])for(const oz of [-.28,.28])box(.12,.76,.12,wood,ox,.4,oz,group);"
for,12-world-resources-nature.js,2132,"box(1.05,.14,.34,materials.fabric,0,.5,.72,group);box(1.05,.72,.14,materials.fabric,0,.83,.86,group);for(const ox of [-.42,.42])box(.1,.47,.1,metal,ox,.24,.72,group);"
if,12-world-resources-nature.js,2134,if(type==='bookshelf'){
for,12-world-resources-nature.js,2135,"box(1.72,2.25,.4,wood,0,1.12,0,group);for(const y of [.2,.75,1.3,1.85,2.22])box(1.68,.1,.46,shadeColor(0x89502b,-16),0,y,0,group);"
for,12-world-resources-nature.js,2136,"const colors=[0xe34e52,0x3f8fd5,0xf0c441,0x55ad67,0x8d65c5];for(let row=0;row<4;row++)for(let i=0;i<7;i++)box(.16,.38,.3,colors[(i+row)%colors.length],-.62+i*.205,.43+row*.55,.04,group);"
if,12-world-resources-nature.js,2138,if(type==='board'){
for,12-world-resources-nature.js,2140,"for(const ox of [-1.2,-.45,.35,1.05])box(.42,.06,.025,0xf1f5d5,ox,1.6,.075,group);"
if,12-world-resources-nature.js,2142,"if(type==='bench'){box(2.25,.22,.62,materials.fabric,0,.62,0,group);box(2.25,.74,.18,materials.fabric,0,1.0,-.24,group);for(const ox of [-.82,.82])box(.14,.55,.14,metal,ox,.28,0,group);}"
for,12-world-resources-nature.js,2142,"if(type==='bench'){box(2.25,.22,.62,materials.fabric,0,.62,0,group);box(2.25,.74,.18,materials.fabric,0,1.0,-.24,group);for(const ox of [-.82,.82])box(.14,.55,.14,metal,ox,.28,0,group);}"
if,12-world-resources-nature.js,2143,if(type==='radio'){
for,12-world-resources-nature.js,2144,"box(1.35,.88,.65,materials.metal,0,.7,0,group);box(.72,.42,.05,dark,-.18,.72,.35,group);for(let i=0;i<4;i++)box(.06,.32,.04,0x9aaaba,-.46+i*.14,.72,.39,group);"
if,12-world-resources-nature.js,2147,if(type==='plant'){
for,12-world-resources-nature.js,2149,"for(const [ox,oy,oz] of [[-.34,1.25,0],[.34,1.08,.08],[0,1.48,-.15],[-.15,1.05,.28]])premiumBox(.62,.22,.4,0x55b94b,ox,oy,oz,group);"
for,12-world-resources-nature.js,2162,for(const word of words){
if,12-world-resources-nature.js,2165,if(ctx.measureText(candidate).width<=maxWidth||!lines[lines.length-1]) lines[lines.length-1]=candidate;
if,12-world-resources-nature.js,2166,else if(lines.length<2) lines.push(word);
else,12-world-resources-nature.js,2166,else if(lines.length<2) lines.push(word);
else,12-world-resources-nature.js,2167,else lines[1]+=' '+word;
while,12-world-resources-nature.js,2170,while(fontSize>30){
if,12-world-resources-nature.js,2172,if(lines.every(line=>ctx.measureText(line).width<=maxWidth)) break;
if,13-houses-npcs-vehicles-base.js,2195,if(publicBuilding){
for,13-houses-npcs-vehicles-base.js,2197,"for(let i=-4;i<=4;i++)box(.58,.18,1.25,i%2?0xfff5df:awningColor,x+i*.58,2.44,z+3.92,house.front);"
else,13-houses-npcs-vehicles-base.js,2200,}else{
if,13-houses-npcs-vehicles-base.js,2204,"house.roof.traverse(o=>{if(o.isMesh&&o.geometry?.type==='BoxGeometry')addVoxelOutline(o,0x182238,.24)});"
if,13-houses-npcs-vehicles-base.js,2205,"house.front.traverse(o=>{if(o.isMesh&&o.geometry?.type==='BoxGeometry')addVoxelOutline(o,0x182238,.25)});"
for,13-houses-npcs-vehicles-base.js,2216,"for(const cx of [-4.12,4.12]){box(.24,2.82,.4,corner,x+cx,1.5,z-3.28);box(.24,2.82,.4,corner,x+cx,1.5,z+3.28,house.front);}"
if,13-houses-npcs-vehicles-base.js,2227,"if(!publicBuilding){createFlower(x-3.1,z+4.7,shadeColor(0xff70c8,(id.charCodeAt(0)%3)*20-20));createFlower(x+3.1,z+4.7,0xffdf55);}"
if,13-houses-npcs-vehicles-base.js,2236,if(type==='home'){
if,13-houses-npcs-vehicles-base.js,2252,} else if(type==='shop'){
else,13-houses-npcs-vehicles-base.js,2252,} else if(type==='shop'){
for,13-houses-npcs-vehicles-base.js,2255,"for(const x of [-2.7,0,2.7]){createFurniture(house,'bookshelf',x,-1.35,0,'Prateleira de produtos');for(const z of [-.95,-1.65])premiumBox(.55,.32,.42,[0xffd84d,0x5bd18b,0xff7b72][Math.abs(Math.round(x))%3],house.x+x,.95,house.z+z);}"
for,13-houses-npcs-vehicles-base.js,2257,"const lampA=addGlow(house.x-2.3,2.35,house.z,0xffffff,5),lampB=addGlow(house.x+2.3,2.35,house.z,0xffffff,5);house.interiorObjects.push(lampA,lampB);premiumBox(2.4,.12,.82,0x4b7a5d,house.x-1.45,1.18,house.z+2.45);premiumBox(1.35,.42,.12,0xfff1b8,house.x-1.45,1.52,house.z+2.02);for(const px of [-2.8,-1.8,-.8,.8,1.8,2.8])premiumBox(.58,.08,.58,0xf7e9cb,house.x+px,2.55,house.z);"
if,13-houses-npcs-vehicles-base.js,2258,} else if(type==='workshop'){
else,13-houses-npcs-vehicles-base.js,2258,} else if(type==='workshop'){
if,13-houses-npcs-vehicles-base.js,2261,} else if(type==='school'){
else,13-houses-npcs-vehicles-base.js,2261,} else if(type==='school'){
for,13-houses-npcs-vehicles-base.js,2264,"for(const [x,z] of [[-2.6,-1.2],[0,-1.2],[2.6,-1.2],[-2.6,.65],[0,.65],[2.6,.65]])createFurniture(house,'desk',x,z,0,'Carteira escolar');"
for,13-houses-npcs-vehicles-base.js,2265,"createFurniture(house,'bookshelf',3.25,2.15,0,'Biblioteca');createFurniture(house,'plant',-3.3,2.1,0,'Horta da turma');createFurniture(house,'desk',0,2.15,0,'Mesa do professor');const teacherWardrobe=createFurniture(house,'wardrobe',-3.25,1.15,0,'Uniformes profissionais');registerActivity(house,teacherWardrobe,'wardrobe');for(const x of [-2.6,0,2.6])premiumBox(.7,.85,.28,0x4a90c4,house.x+x,.62,house.z+2.78);for(const [px,c] of [[-2.5,0xffd34d],[0,0x64d986],[2.5,0xff728e]])premiumBox(1.45,.85,.08"
if,13-houses-npcs-vehicles-base.js,2266,} else if(type==='police'){
else,13-houses-npcs-vehicles-base.js,2266,} else if(type==='police'){
for,13-houses-npcs-vehicles-base.js,2270,"createFurniture(house,'board',0,2.7,0,'Regras de trânsito');createFurniture(house,'bookshelf',-3.25,1.7,0,'Guias de segurança');const policeWardrobe=createFurniture(house,'wardrobe',3.15,-1.85,0,'Armário de uniformes');registerActivity(house,policeWardrobe,'wardrobe');premiumBox(8.0,.22,.1,0x245da8,house.x,1.08,house.z-3.0);for(const px of [-1.0,0,1.0])premiumBox(.72,.42,.08,0x7edfff,house.x+px,1.48,house.z-2.94);premiumBox(1.65,.08,1.0,0x2a4058,house.x,2.55,house.z);"
if,13-houses-npcs-vehicles-base.js,2271,} else if(type==='firestation'){
else,13-houses-npcs-vehicles-base.js,2271,} else if(type==='firestation'){
for,13-houses-npcs-vehicles-base.js,2275,"for(const x of [1.75,2.45,3.15])premiumCylinder(.18,1.7,0xe24b3f,house.x+x,.9,house.z+2.45,worldGroup,12);for(let line=-3;line<=3;line+=1.2)premiumBox(.48,.025,5.6,line<0?0xf1c83b:0x222b34,house.x+line,.205,house.z);for(const px of [-2.9,-2.15,-1.4]){premiumBox(.62,1.65,.55,0xc43d38,house.x+px,.88,house.z+2.35);premiumBox(.5,.18,.62,0xf1cc3d,house.x+px,1.8,house.z+2.35);}premiumBox(2.2,.08,1.0,0xfff0cf,house.x,2.55,house.z);"
if,13-houses-npcs-vehicles-base.js,2276,} else if(type==='neighbor'){
else,13-houses-npcs-vehicles-base.js,2276,} else if(type==='neighbor'){
if,13-houses-npcs-vehicles-base.js,2295,"box(.76,.18,.64,hairColor,0,2.38,0,group);if(hash%3===0){box(.18,.42,.58,hairColor,-.34,2.15,0,group);box(.18,.42,.58,hairColor,.34,2.15,0,group);}else if(hash%3===1){box(.72,.12,.12,hairColor,0,2.14,.34,group);}"
else,13-houses-npcs-vehicles-base.js,2295,"box(.76,.18,.64,hairColor,0,2.38,0,group);if(hash%3===0){box(.18,.42,.58,hairColor,-.34,2.15,0,group);box(.18,.42,.58,hairColor,.34,2.15,0,group);}else if(hash%3===1){box(.72,.12,.12,hairColor,0,2.14,.34,group);}"
for,13-houses-npcs-vehicles-base.js,2300,"for(const arm of [leftArm,rightArm]){box(.24,.48,.24,shirt,0,-.22,0,arm);box(.22,.25,.22,skin,0,-.58,0,arm);}"
for,13-houses-npcs-vehicles-base.js,2301,"for(const leg of [leftLeg,rightLeg]){box(.24,.58,.25,pants,0,-.28,0,leg);box(.27,.18,.34,shoe,0,-.65,.06,leg);}"
if,13-houses-npcs-vehicles-base.js,2302,"if(hash%4===0)box(.9,.18,.7,0x2f7ed6,0,2.48,0,group);"
if,13-houses-npcs-vehicles-base.js,2304,"group.traverse(o=>{if(o.isMesh)addVoxelOutline(o,0x172033,.3);});"
if,13-houses-npcs-vehicles-base.js,2309,if(!npc||!Array.isArray(route)||route.length<2)return npc;const ride=new THREE.Group();npc.group.add(ride);const wheels=[];
if,13-houses-npcs-vehicles-base.js,2310,if(type==='car'){
for,13-houses-npcs-vehicles-base.js,2312,"for(const p of [[-.78,.28,-.72],[.78,.28,-.72],[-.78,.28,.72],[.78,.28,.72]]){const wheel=premiumCylinder(.28,.24,0x121821,p[0],p[1],p[2],ride,10);wheel.rotation.z=Math.PI/2;wheels.push(wheel);}"
if,13-houses-npcs-vehicles-base.js,2313,}else if(type==='moto'){
else,13-houses-npcs-vehicles-base.js,2313,}else if(type==='moto'){
for,13-houses-npcs-vehicles-base.js,2314,"for(const z of [-.72,.72]){const wheel=premiumCylinder(.34,.13,0x111822,0,.36,z,ride,12);wheel.rotation.z=Math.PI/2;wheels.push(wheel);}premiumBox(.28,.26,1.15,npc.color,0,.58,0,ride);premiumBox(.56,.15,.42,0x202c3b,0,.76,-.12,ride);premiumBox(.7,.06,.08,0xd7e2eb,0,1.05,.53,ride);"
if,13-houses-npcs-vehicles-base.js,2315,}else if(type==='bike'){
else,13-houses-npcs-vehicles-base.js,2315,}else if(type==='bike'){
for,13-houses-npcs-vehicles-base.js,2316,"for(const z of [-.72,.72]){const wheel=premiumCylinder(.34,.07,0x17202b,0,.36,z,ride,14);wheel.rotation.z=Math.PI/2;wheels.push(wheel);}premiumBox(.08,.65,1.2,npc.color,0,.62,0,ride);premiumBox(.58,.07,.08,0xe8eef3,0,1.05,.62,ride);premiumBox(.45,.12,.34,0x25364a,0,.84,-.2,ride);"
else,13-houses-npcs-vehicles-base.js,2317,}else{
